brand;model;generation;version;productionYear;mileage;enginePowerKW;engineCapacity;bodyType;bodyTypeText;fuelType;fuelTypeText;price;currency
Opel;Astra;Astra K Sports Tourer;1.6 CDTi (136 KM) ecoFLEX start&stop;2016;244000.0;100.0;1599.0;KOMBI;Kombi;DIESEL;Diesel;29500;PLN
Opel;Corsa;Inny;Inny;2014;199950.0;64.0;1398.0;OTHER;Nieznany;GASOLINE;Benzyna;21900;PLN
Toyota;Yaris;Inny;Inny;2012;130589.0;73.0;1329.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;33900;PLN
BMW;Seria 3;Seria 3 Touring (E91);318d (122 KM);2007;257000.0;89.0;1995.0;KOMBI;Kombi;DIESEL;Diesel;17999;PLN
Toyota;Camry;Inny;Inny;2023;16137.0;160.0;2487.0;SEDAN;Sedan;HYBRID;Hybrydowy;164900;PLN
Toyota;Highlander;Inny;Inny;2021;80160.0;182.0;2487.0;KOMBI;Kombi;HYBRID;Hybrydowy;209000;PLN
Mercedes-Benz;Klasa S;Klasa S SE (W116);280 S (160 KM);1974;147269.0;118.0;2746.0;SEDAN;Sedan;GASOLINE;Benzyna;23000;PLN
Lexus;NX;Inny;Inny;2016;196902.0;175.0;1998.0;SUV;SUV;GASOLINE;Benzyna;89850;PLN
Toyota;RAV4;Inny;Inny;2018;112583.0;145.0;2494.0;SUV;SUV;HYBRID;Hybrydowy;116700;PLN
Lexus;LS;LS IV;460 V8 (380 KM) Automatic;2007;207000.0;205.0;4608.0;SEDAN;Sedan;OTHER;Inny;44500;PLN
Peugeot;208;208 I;1.4 HDi (68 KM) FAP;2013;115.0;50.0;1400.0;HATCHBACK;Hatchback;DIESEL;Diesel;23000;PLN
Lexus;UX;Inny;Inny;2022;28903.0;135.0;1987.0;SUV;SUV;HYBRID;Hybrydowy;146900;PLN
Mazda;6;6 I Combi (Typ GG/GY/GG1);1.8 (120 KM);2004;254000.0;88.0;1800.0;KOMBI;Kombi;GASOLINE;Benzyna;4199;PLN
Toyota;Corolla;Inny;Inny;2023;8215.0;103.0;1798.0;HATCHBACK;Hatchback;HYBRID;Hybrydowy;124900;PLN
Citroen;C4;Inny;Inny;2016;211245.0;110.0;1997.0;OTHER;Nieznany;DIESEL;Diesel;7600;PLN
Nissan;Note;Note I (E11) (facelift 2010);1.6 (110 KM);2010;157800.0;81.0;1600.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;19900;PLN
